X,Z,Y
-0.87755,0.65714,6.2194
-0.87755,0.66735,6.2367
-0.87755,0.67755,6.2537
-0.87755,0.68776,6.2704
-0.87755,0.69796,6.2869
-0.87755,0.70816,6.3032
-0.87755,0.71837,6.3192
-0.87755,0.72857,6.335
-0.87755,0.73878,6.3506
-0.87755,0.74898,6.3659
-0.87755,0.75918,6.3811
-0.87755,0.76939,6.3961
-0.87755,0.77959,6.4108
-0.87755,0.7898,6.4254
-0.87755,0.8,6.4398
-0.83673,0.3,5.3412
-0.83673,0.3102,5.3787
-0.83673,0.32041,5.4149
-0.83673,0.33061,5.45
-0.83673,0.34082,5.4841
-0.83673,0.35102,5.5171
-0.83673,0.36122,5.5492
-0.83673,0.37143,5.5804
-0.83673,0.38163,5.6108
-0.83673,0.39184,5.6403
-0.83673,0.40204,5.6691
-0.83673,0.41224,5.6972
-0.83673,0.42245,5.7246
-0.83673,0.43265,5.7513
-0.83673,0.44286,5.7774
-0.83673,0.45306,5.8029
-0.83673,0.46327,5.8279
-0.83673,0.47347,5.8523
-0.83673,0.48367,5.8762
-0.83673,0.49388,5.8995
-0.83673,0.50408,5.9225
-0.83673,0.51429,5.9449
-0.83673,0.52449,5.9669
-0.83673,0.53469,5.9885
-0.83673,0.5449,6.0097
-0.83673,0.5551,6.0304
-0.83673,0.56531,6.0508
-0.83673,0.57551,6.0709
-0.83673,0.58571,6.0906
-0.83673,0.59592,6.1099
-0.83673,0.60612,6.1289
-0.83673,0.61633,6.1476
-0.83673,0.62653,6.166
-0.83673,0.63673,6.1841
-0.83673,0.64694,6.2019
-0.83673,0.65714,6.2194
-0.83673,0.66735,6.2367
-0.83673,0.67755,6.2537
-0.83673,0.68776,6.2704
-0.83673,0.69796,6.2869
-0.83673,0.70816,6.3032
-0.83673,0.71837,6.3192
-0.83673,0.72857,6.335
-0.83673,0.73878,6.3506
-0.83673,0.74898,6.3659
-0.83673,0.75918,6.3811
-0.83673,0.76939,6.3961
-0.83673,0.77959,6.4108
-0.83673,0.7898,6.4254
-0.83673,0.8,6.4398
-0.79592,0.3,5.3412
-0.79592,0.3102,5.3787
-0.79592,0.32041,5.4149
-0.79592,0.33061,5.45
-0.79592,0.34082,5.4841
-0.79592,0.35102,5.5171
-0.79592,0.36122,5.5492
-0.79592,0.37143,5.5804
-0.79592,0.38163,5.6108
-0.79592,0.39184,5.6403
-0.79592,0.40204,5.6691
-0.79592,0.41224,5.6972
-0.79592,0.42245,5.7246
-0.79592,0.43265,5.7513
-0.79592,0.44286,5.7774
-0.79592,0.45306,5.8029
-0.79592,0.46327,5.8279
-0.79592,0.47347,5.8523
-0.79592,0.48367,5.8762
-0.79592,0.49388,5.8995
-0.79592,0.50408,5.9225
-0.79592,0.51429,5.9449
-0.79592,0.52449,5.9669
-0.79592,0.53469,5.9885
-0.79592,0.5449,6.0097
-0.79592,0.5551,6.0304
-0.79592,0.56531,6.0508
-0.79592,0.57551,6.0709
-0.79592,0.58571,6.0906
-0.79592,0.59592,6.1099
-0.79592,0.60612,6.1289
-0.79592,0.61633,6.1476
-0.79592,0.62653,6.166
-0.79592,0.63673,6.1841
-0.79592,0.64694,6.2019
-0.79592,0.65714,6.2194
-0.79592,0.66735,6.2367
-0.79592,0.67755,6.2537
-0.79592,0.68776,6.2704
-0.79592,0.69796,6.2869
-0.79592,0.70816,6.3032
-0.79592,0.71837,6.3192
-0.79592,0.72857,6.335
-0.79592,0.73878,6.3506
-0.79592,0.74898,6.3659
-0.79592,0.75918,6.3811
-0.79592,0.76939,6.3961
-0.79592,0.77959,6.4108
-0.79592,0.7898,6.4254
-0.79592,0.8,6.4398
-0.7551,0.3,5.3412
-0.7551,0.3102,5.3787
-0.7551,0.32041,5.4149
-0.7551,0.33061,5.45
-0.7551,0.34082,5.4841
-0.7551,0.35102,5.5171
-0.7551,0.36122,5.5492
-0.7551,0.37143,5.5804
-0.7551,0.38163,5.6108
-0.7551,0.39184,5.6403
-0.7551,0.40204,5.6691
-0.7551,0.41224,5.6972
-0.7551,0.42245,5.7246
-0.7551,0.43265,5.7513
-0.7551,0.44286,5.7774
-0.7551,0.45306,5.8029
-0.7551,0.46327,5.8279
-0.7551,0.47347,5.8523
-0.7551,0.48367,5.8762
-0.7551,0.49388,5.8995
-0.7551,0.50408,5.9225
-0.7551,0.51429,5.9449
-0.7551,0.52449,5.9669
-0.7551,0.53469,5.9885
-0.7551,0.5449,6.0097
-0.7551,0.5551,6.0304
-0.7551,0.56531,6.0508
-0.7551,0.57551,6.0709
-0.7551,0.58571,6.0906
-0.7551,0.59592,6.1099
-0.7551,0.60612,6.1289
-0.7551,0.61633,6.1476
-0.7551,0.62653,6.166
-0.7551,0.63673,6.1841
-0.7551,0.64694,6.2019
-0.7551,0.65714,6.2194
-0.7551,0.66735,6.2367
-0.7551,0.67755,6.2537
-0.7551,0.68776,6.2704
-0.7551,0.69796,6.2869
-0.7551,0.70816,6.3032
-0.7551,0.71837,6.3192
-0.7551,0.72857,6.335
-0.7551,0.73878,6.3506
-0.7551,0.74898,6.3659
-0.7551,0.75918,6.3811
-0.7551,0.76939,6.3961
-0.7551,0.77959,6.4108
-0.7551,0.7898,6.4254
-0.7551,0.8,6.4398
-0.71429,0.3,5.3412
-0.71429,0.3102,5.3787
-0.71429,0.32041,5.4149
-0.71429,0.33061,5.45
-0.71429,0.34082,5.4841
-0.71429,0.35102,5.5171
-0.71429,0.36122,5.5492
-0.71429,0.37143,5.5804
-0.71429,0.38163,5.6108
-0.71429,0.39184,5.6403
-0.71429,0.40204,5.6691
-0.71429,0.41224,5.6972
-0.71429,0.42245,5.7246
-0.71429,0.43265,5.7513
-0.71429,0.44286,5.7774
-0.71429,0.45306,5.8029
-0.71429,0.46327,5.8279
-0.71429,0.47347,5.8523
-0.71429,0.48367,5.8762
-0.71429,0.49388,5.8995
-0.71429,0.50408,5.9225
-0.71429,0.51429,5.9449
-0.71429,0.52449,5.9669
-0.71429,0.53469,5.9885
-0.71429,0.5449,6.0097
-0.71429,0.5551,6.0304
-0.71429,0.56531,6.0508
-0.71429,0.57551,6.0709
-0.71429,0.58571,6.0906
-0.71429,0.59592,6.1099
-0.71429,0.60612,6.1289
-0.71429,0.61633,6.1476
-0.71429,0.62653,6.166
-0.71429,0.63673,6.1841
-0.71429,0.64694,6.2019
-0.71429,0.65714,6.2194
-0.71429,0.66735,6.2367
-0.71429,0.67755,6.2537
-0.71429,0.68776,6.2704
-0.71429,0.69796,6.2869
-0.71429,0.70816,6.3032
-0.71429,0.71837,6.3192
-0.71429,0.72857,6.335
-0.71429,0.73878,6.3506
-0.71429,0.74898,6.3659
-0.71429,0.75918,6.3811
-0.71429,0.76939,6.3961
-0.71429,0.77959,6.4108
-0.71429,0.7898,6.4254
-0.71429,0.8,6.4398
-0.67347,0.3,5.3412
-0.67347,0.3102,5.3787
-0.67347,0.32041,5.4149
-0.67347,0.33061,5.45
-0.67347,0.34082,5.4841
-0.67347,0.35102,5.5171
-0.67347,0.36122,5.5492
-0.67347,0.37143,5.5804
-0.67347,0.38163,5.6108
-0.67347,0.39184,5.6403
-0.67347,0.40204,5.6691
-0.67347,0.41224,5.6972
-0.67347,0.42245,5.7246
-0.67347,0.43265,5.7513
-0.67347,0.44286,5.7774
-0.67347,0.45306,5.8029
-0.67347,0.46327,5.8279
-0.67347,0.47347,5.8523
-0.67347,0.48367,5.8762
-0.67347,0.49388,5.8995
-0.67347,0.50408,5.9225
-0.67347,0.51429,5.9449
-0.67347,0.52449,5.9669
