X,Z,Y
-0.87755,0.72857,6.9144
-0.87755,0.74796,6.9437
-0.87755,0.76735,6.9722
-0.87755,0.78673,7
-0.87755,0.80612,7.0271
-0.87755,0.82551,7.0536
-0.87755,0.8449,7.0795
-0.87755,0.86429,7.1047
-0.87755,0.88367,7.1295
-0.87755,0.90306,7.1536
-0.87755,0.92245,7.1773
-0.87755,0.94184,7.2005
-0.87755,0.96122,7.2232
-0.87755,0.98061,7.2454
-0.87755,1,7.2672
-0.83673,0.05,3.9423
-0.83673,0.069388,4.3063
-0.83673,0.088776,4.5799
-0.83673,0.10816,4.7993
-0.83673,0.12755,4.9824
-0.83673,0.14694,5.1396
-0.83673,0.16633,5.2772
-0.83673,0.18571,5.3997
-0.83673,0.2051,5.51
-0.83673,0.22449,5.6103
-0.83673,0.24388,5.7023
-0.83673,0.26327,5.7873
-0.83673,0.28265,5.8662
-0.83673,0.30204,5.9399
-0.83673,0.32143,6.009
-0.83673,0.34082,6.074
-0.83673,0.3602,6.1355
-0.83673,0.37959,6.1937
-0.83673,0.39898,6.249
-0.83673,0.41837,6.3017
-0.83673,0.43776,6.352
-0.83673,0.45714,6.4002
-0.83673,0.47653,6.4463
-0.83673,0.49592,6.4906
-0.83673,0.51531,6.5332
-0.83673,0.53469,6.5742
-0.83673,0.55408,6.6138
-0.83673,0.57347,6.652
-0.83673,0.59286,6.6889
-0.83673,0.61224,6.7246
-0.83673,0.63163,6.7593
-0.83673,0.65102,6.7928
-0.83673,0.67041,6.8254
-0.83673,0.6898,6.8571
-0.83673,0.70918,6.8879
-0.83673,0.72857,6.9178
-0.83673,0.74796,6.947
-0.83673,0.76735,6.9754
-0.83673,0.78673,7.0031
-0.83673,0.80612,7.0302
-0.83673,0.82551,7.0566
-0.83673,0.8449,7.0824
-0.83673,0.86429,7.1076
-0.83673,0.88367,7.1322
-0.83673,0.90306,7.1563
-0.83673,0.92245,7.1799
-0.83673,0.94184,7.203
-0.83673,0.96122,7.2256
-0.83673,0.98061,7.2478
-0.83673,1,7.2695
-0.79592,0.05,3.9547
-0.79592,0.069388,4.3175
-0.79592,0.088776,4.5904
-0.79592,0.10816,4.8091
-0.79592,0.12755,4.9917
-0.79592,0.14694,5.1483
-0.79592,0.16633,5.2856
-0.79592,0.18571,5.4077
-0.79592,0.2051,5.5176
-0.79592,0.22449,5.6176
-0.79592,0.24388,5.7094
-0.79592,0.26327,5.7941
-0.79592,0.28265,5.8727
-0.79592,0.30204,5.9462
-0.79592,0.32143,6.0151
-0.79592,0.34082,6.08
-0.79592,0.3602,6.1412
-0.79592,0.37959,6.1993
-0.79592,0.39898,6.2544
-0.79592,0.41837,6.307
-0.79592,0.43776,6.3571
-0.79592,0.45714,6.4051
-0.79592,0.47653,6.4511
-0.79592,0.49592,6.4953
-0.79592,0.51531,6.5377
-0.79592,0.53469,6.5786
-0.79592,0.55408,6.6181
-0.79592,0.57347,6.6562
-0.79592,0.59286,6.693
-0.79592,0.61224,6.7286
-0.79592,0.63163,6.7631
-0.79592,0.65102,6.7966
-0.79592,0.67041,6.8291
-0.79592,0.6898,6.8607
-0.79592,0.70918,6.8914
-0.79592,0.72857,6.9212
-0.79592,0.74796,6.9503
-0.79592,0.76735,6.9786
-0.79592,0.78673,7.0063
-0.79592,0.80612,7.0332
-0.79592,0.82551,7.0595
-0.79592,0.8449,7.0852
-0.79592,0.86429,7.1104
-0.79592,0.88367,7.1349
-0.79592,0.90306,7.159
-0.79592,0.92245,7.1825
-0.79592,0.94184,7.2055
-0.79592,0.96122,7.2281
-0.79592,0.98061,7.2502
-0.79592,1,7.2719
-0.7551,0.05,3.967
-0.7551,0.069388,4.3287
-0.7551,0.088776,4.6008
-0.7551,0.10816,4.8188
-0.7551,0.12755,5.0008
-0.7551,0.14694,5.1571
-0.7551,0.16633,5.2939
-0.7551,0.18571,5.4156
-0.7551,0.2051,5.5252
-0.7551,0.22449,5.6249
-0.7551,0.24388,5.7164
-0.7551,0.26327,5.8008
-0.7551,0.28265,5.8793
-0.7551,0.30204,5.9525
-0.7551,0.32143,6.0212
-0.7551,0.34082,6.0859
-0.7551,0.3602,6.1469
-0.7551,0.37959,6.2048
-0.7551,0.39898,6.2598
-0.7551,0.41837,6.3122
-0.7551,0.43776,6.3622
-0.7551,0.45714,6.41
-0.7551,0.47653,6.4559
-0.7551,0.49592,6.4999
-0.7551,0.51531,6.5423
-0.7551,0.53469,6.583
-0.7551,0.55408,6.6224
-0.7551,0.57347,6.6603
-0.7551,0.59286,6.697
-0.7551,0.61224,6.7326
-0.7551,0.63163,6.767
-0.7551,0.65102,6.8003
-0.7551,0.67041,6.8327
-0.7551,0.6898,6.8642
-0.7551,0.70918,6.8948
-0.7551,0.72857,6.9246
