x,Curve1
5.0161,2.05934
8.94566,3.0192
12.979,3.69983
18.7544,4.45026
26.99,5.2007
43.6756,6.24782
66.2437,7.29494
110.713,8.60384
180.602,9.80803
197.406,10.0524
