X,Z,Y
-0.87755,0.44286,6.3598
-0.87755,0.45408,6.3877
-0.87755,0.46531,6.4149
-0.87755,0.47653,6.4415
-0.87755,0.48776,6.4674
-0.87755,0.49898,6.4928
-0.87755,0.5102,6.5175
-0.87755,0.52143,6.5418
-0.87755,0.53265,6.5655
-0.87755,0.54388,6.5887
-0.87755,0.5551,6.6115
-0.87755,0.56633,6.6338
-0.87755,0.57755,6.6557
-0.87755,0.58878,6.6771
-0.87755,0.6,6.6982
-0.83673,0.05,3.9423
-0.83673,0.061224,4.1672
-0.83673,0.072449,4.3542
-0.83673,0.083673,4.5142
-0.83673,0.094898,4.654
-0.83673,0.10612,4.7782
-0.83673,0.11735,4.8898
-0.83673,0.12857,4.9913
-0.83673,0.1398,5.0842
-0.83673,0.15102,5.17
-0.83673,0.16224,5.2497
-0.83673,0.17347,5.3239
-0.83673,0.18469,5.3936
-0.83673,0.19592,5.4591
-0.83673,0.20714,5.521
-0.83673,0.21837,5.5796
-0.83673,0.22959,5.6353
-0.83673,0.24082,5.6883
-0.83673,0.25204,5.7389
-0.83673,0.26327,5.7873
-0.83673,0.27449,5.8336
-0.83673,0.28571,5.8782
-0.83673,0.29694,5.921
-0.83673,0.30816,5.9622
-0.83673,0.31939,6.0019
-0.83673,0.33061,6.0403
-0.83673,0.34184,6.0773
-0.83673,0.35306,6.1132
-0.83673,0.36429,6.148
-0.83673,0.37551,6.1817
-0.83673,0.38673,6.2144
-0.83673,0.39796,6.2462
-0.83673,0.40918,6.2771
-0.83673,0.42041,6.3071
-0.83673,0.43163,6.3364
-0.83673,0.44286,6.3649
-0.83673,0.45408,6.3927
-0.83673,0.46531,6.4198
-0.83673,0.47653,6.4463
-0.83673,0.48776,6.4722
-0.83673,0.49898,6.4974
-0.83673,0.5102,6.5221
-0.83673,0.52143,6.5463
-0.83673,0.53265,6.57
-0.83673,0.54388,6.5931
-0.83673,0.5551,6.6158
-0.83673,0.56633,6.638
-0.83673,0.57755,6.6598
-0.83673,0.58878,6.6812
-0.83673,0.6,6.7022
-0.79592,0.05,3.9547
-0.79592,0.061224,4.1789
-0.79592,0.072449,4.3653
-0.79592,0.083673,4.5248
-0.79592,0.094898,4.6642
-0.79592,0.10612,4.788
-0.79592,0.11735,4.8993
-0.79592,0.12857,5.0005
-0.79592,0.1398,5.0932
-0.79592,0.15102,5.1787
-0.79592,0.16224,5.2581
-0.79592,0.17347,5.3321
-0.79592,0.18469,5.4016
-0.79592,0.19592,5.4669
-0.79592,0.20714,5.5286
-0.79592,0.21837,5.587
-0.79592,0.22959,5.6425
-0.79592,0.24082,5.6954
-0.79592,0.25204,5.7458
-0.79592,0.26327,5.7941
-0.79592,0.27449,5.8403
-0.79592,0.28571,5.8847
-0.79592,0.29694,5.9273
-0.79592,0.30816,5.9684
-0.79592,0.31939,6.008
-0.79592,0.33061,6.0463
-0.79592,0.34184,6.0833
-0.79592,0.35306,6.119
-0.79592,0.36429,6.1537
-0.79592,0.37551,6.1873
-0.79592,0.38673,6.2199
-0.79592,0.39796,6.2516
-0.79592,0.40918,6.2824
-0.79592,0.42041,6.3124
-0.79592,0.43163,6.3415
-0.79592,0.44286,6.37
-0.79592,0.45408,6.3977
-0.79592,0.46531,6.4247
-0.79592,0.47653,6.4511
-0.79592,0.48776,6.4769
-0.79592,0.49898,6.5021
-0.79592,0.5102,6.5267
-0.79592,0.52143,6.5508
-0.79592,0.53265,6.5744
-0.79592,0.54388,6.5975
-0.79592,0.5551,6.6201
-0.79592,0.56633,6.6423
-0.79592,0.57755,6.664
-0.79592,0.58878,6.6853
-0.79592,0.6,6.7062
-0.7551,0.05,3.967
-0.7551,0.061224,4.1906
-0.7551,0.072449,4.3764
-0.7551,0.083673,4.5354
-0.7551,0.094898,4.6744
-0.7551,0.10612,4.7978
-0.7551,0.11735,4.9088
-0.7551,0.12857,5.0096
-0.7551,0.1398,5.102
-0.7551,0.15102,5.1873
-0.7551,0.16224,5.2665
-0.7551,0.17347,5.3403
-0.7551,0.18469,5.4095
-0.7551,0.19592,5.4747
-0.7551,0.20714,5.5362
-0.7551,0.21837,5.5944
-0.7551,0.22959,5.6497
-0.7551,0.24082,5.7024
-0.7551,0.25204,5.7527
-0.7551,0.26327,5.8008
-0.7551,0.27449,5.8469
-0.7551,0.28571,5.8912
-0.7551,0.29694,5.9337
-0.7551,0.30816,5.9747
-0.7551,0.31939,6.0142
-0.7551,0.33061,6.0523
-0.7551,0.34184,6.0892
-0.7551,0.35306,6.1248
-0.7551,0.36429,6.1594
-0.7551,0.37551,6.1929
-0.7551,0.38673,6.2254
-0.7551,0.39796,6.257
-0.7551,0.40918,6.2877
-0.7551,0.42041,6.3176
-0.7551,0.43163,6.3467
-0.7551,0.44286,6.375
-0.7551,0.45408,6.4026
-0.7551,0.46531,6.4296
-0.7551,0.47653,6.4559
-0.7551,0.48776,6.4816
-0.7551,0.49898,6.5067
-0.7551,0.5102,6.5313
-0.7551,0.52143,6.5553
-0.7551,0.53265,6.5788
-0.7551,0.54388,6.6018
-0.7551,0.5551,6.6244
-0.7551,0.56633,6.6465
-0.7551,0.57755,6.6682
-0.7551,0.58878,6.6894
-0.7551,0.6,6.7103
-0.71429,0.05,3.9793
-0.71429,0.061224,4.2022
-0.71429,0.072449,4.3875
-0.71429,0.083673,4.546
-0.71429,0.094898,4.6845
-0.71429,0.10612,4.8076
-0.71429,0.11735,4.9182
-0.71429,0.12857,5.0188
-0.71429,0.1398,5.1109
-0.71429,0.15102,5.1959
-0.71429,0.16224,5.2748
-0.71429,0.17347,5.3484
-0.71429,0.18469,5.4175
-0.71429,0.19592,5.4824
-0.71429,0.20714,5.5437
-0.71429,0.21837,5.6018
-0.71429,0.22959,5.657
-0.71429,0.24082,5.7095
-0.71429,0.25204,5.7596
-0.71429,0.26327,5.8076
-0.71429,0.27449,5.8535
-0.71429,0.28571,5.8977
-0.71429,0.29694,5.9401
-0.71429,0.30816,5.9809
-0.71429,0.31939,6.0203
-0.71429,0.33061,6.0583
-0.71429,0.34184,6.095
-0.71429,0.35306,6.1306
-0.71429,0.36429,6.165
-0.71429,0.37551,6.1984
-0.71429,0.38673,6.2309
-0.71429,0.39796,6.2624
-0.71429,0.40918,6.293
-0.71429,0.42041,6.3228
-0.71429,0.43163,6.3518
-0.71429,0.44286,6.38
-0.71429,0.45408,6.4076
-0.71429,0.46531,6.4344
-0.71429,0.47653,6.4607
-0.71429,0.48776,6.4863
-0.71429,0.49898,6.5113
-0.71429,0.5102,6.5358
-0.71429,0.52143,6.5598
-0.71429,0.53265,6.5832
-0.71429,0.54388,6.6062
-0.71429,0.5551,6.6287
-0.71429,0.56633,6.6507
-0.71429,0.57755,6.6723
-0.71429,0.58878,6.6935
-0.71429,0.6,6.7143
-0.67347,0.05,3.9915
-0.67347,0.061224,4.2137
-0.67347,0.072449,4.3985
-0.67347,0.083673,4.5565
-0.67347,0.094898,4.6947
-0.67347,0.10612,4.8173
-0.67347,0.11735,4.9277
-0.67347,0.12857,5.0279
-0.67347,0.1398,5.1197
-0.67347,0.15102,5.2045
-0.67347,0.16224,5.2832
-0.67347,0.17347,5.3566
-0.67347,0.18469,5.4254
-0.67347,0.19592,5.4901
-0.67347,0.20714,5.5512
-0.67347,0.21837,5.6091
-0.67347,0.22959,5.6641
-0.67347,0.24082,5.7165
-0.67347,0.25204,5.7665
-0.67347,0.26327,5.8143
-0.67347,0.27449,5.8601
-0.67347,0.28571,5.9041
-0.67347,0.29694,5.9464
-0.67347,0.30816,5.9871
-0.67347,0.31939,6.0264
-0.67347,0.33061,6.0643
-0.67347,0.34184,6.1009
-0.67347,0.35306,6.1364
-0.67347,0.36429,6.1707
-0.67347,0.37551,6.204
-0.67347,0.38673,6.2363
-0.67347,0.39796,6.2677
-0.67347,0.40918,6.2982
-0.67347,0.42041,6.3279
-0.67347,0.43163,6.3568
-0.67347,0.44286,6.385
-0.67347,0.45408,6.4125
-0.67347,0.46531,6.4393
-0.67347,0.47653,6.4654
-0.67347,0.48776,6.491
-0.67347,0.49898,6.5159
-0.67347,0.5102,6.5404
-0.67347,0.52143,6.5642
-0.67347,0.53265,6.5876
-0.67347,0.54388,6.6105
-0.67347,0.5551,6.6329
-0.67347,0.56633,6.6549
-0.67347,0.57755,6.6764
-0.67347,0.58878,6.6975
-0.67347,0.6,6.7183
-0.63265,0.05,4.0037
-0.63265,0.061224,4.2253
-0.63265,0.072449,4.4094
-0.63265,0.083673,4.567
-0.63265,0.094898,4.7047
-0.63265,0.10612,4.827
-0.63265,0.11735,4.937
-0.63265,0.12857,5.037
-0.63265,0.1398,5.1285
-0.63265,0.15102,5.213
-0.63265,0.16224,5.2915
-0.63265,0.17347,5.3646
-0.63265,0.18469,5.4332
-0.63265,0.19592,5.4978
-0.63265,0.20714,5.5587
-0.63265,0.21837,5.6165
-0.63265,0.22959,5.6713
-0.63265,0.24082,5.7235
-0.63265,0.25204,5.7734
-0.63265,0.26327,5.821
-0.63265,0.27449,5.8667
-0.63265,0.28571,5.9106
-0.63265,0.29694,5.9527
-0.63265,0.30816,5.9933
-0.63265,0.31939,6.0324
-0.63265,0.33061,6.0702
-0.63265,0.34184,6.1068
-0.63265,0.35306,6.1421
-0.63265,0.36429,6.1763
-0.63265,0.37551,6.2095
-0.63265,0.38673,6.2418
-0.63265,0.39796,6.2731
-0.63265,0.40918,6.3035
-0.63265,0.42041,6.3331
-0.63265,0.43163,6.3619
-0.63265,0.44286,6.39
-0.63265,0.45408,6.4174
-0.63265,0.46531,6.4441
-0.63265,0.47653,6.4702
-0.63265,0.48776,6.4957
-0.63265,0.49898,6.5205
-0.63265,0.5102,6.5449
-0.63265,0.52143,6.5687
-0.63265,0.53265,6.592
-0.63265,0.54388,6.6148
-0.63265,0.5551,6.6371
-0.63265,0.56633,6.6591
-0.63265,0.57755,6.6805
-0.63265,0.58878,6.7016
-0.63265,0.6,6.7222
-0.59184,0.05,4.0159
-0.59184,0.061224,4.2368
-0.59184,0.072449,4.4204
-0.59184,0.083673,4.5775
-0.59184,0.094898,4.7148
-0.59184,0.10612,4.8367
-0.59184,0.11735,4.9464
-0.59184,0.12857,5.046
-0.59184,0.1398,5.1373
-0.59184,0.15102,5.2216
-0.59184,0.16224,5.2998
-0.59184,0.17347,5.3727
-0.59184,0.18469,5.4411
-0.59184,0.19592,5.5055
-0.59184,0.20714,5.5662
-0.59184,0.21837,5.6238
-0.59184,0.22959,5.6784
-0.59184,0.24082,5.7305
-0.59184,0.25204,5.7802
-0.59184,0.26327,5.8277
-0.59184,0.27449,5.8733
-0.59184,0.28571,5.917
-0.59184,0.29694,5.959
-0.59184,0.30816,5.9995
-0.59184,0.31939,6.0385
-0.59184,0.33061,6.0762
-0.59184,0.34184,6.1126
-0.59184,0.35306,6.1478
-0.59184,0.36429,6.182
-0.59184,0.37551,6.2151
-0.59184,0.38673,6.2472
-0.59184,0.39796,6.2784
-0.59184,0.40918,6.3087
-0.59184,0.42041,6.3382
-0.59184,0.43163,6.367
-0.59184,0.44286,6.395
-0.59184,0.45408,6.4223
-0.59184,0.46531,6.4489
-0.59184,0.47653,6.4749
-0.59184,0.48776,6.5003
-0.59184,0.49898,6.5251
-0.59184,0.5102,6.5494
-0.59184,0.52143,6.5731
-0.59184,0.53265,6.5964
-0.59184,0.54388,6.6191
-0.59184,0.5551,6.6414
-0.59184,0.56633,6.6632
-0.59184,0.57755,6.6846
-0.59184,0.58878,6.7056
-0.59184,0.6,6.7262
-0.55102,0.05,4.028
-0.55102,0.061224,4.2483
-0.55102,0.072449,4.4313
-0.55102,0.083673,4.5879
-0.55102,0.094898,4.7248
-0.55102,0.10612,4.8464
-0.55102,0.11735,4.9557
-0.55102,0.12857,5.0551
-0.55102,0.1398,5.1461
-0.55102,0.15102,5.2301
-0.55102,0.16224,5.308
-0.55102,0.17347,5.3808
-0.55102,0.18469,5.4489
-0.55102,0.19592,5.5131
-0.55102,0.20714,5.5737
-0.55102,0.21837,5.6311
-0.55102,0.22959,5.6856
-0.55102,0.24082,5.7375
-0.55102,0.25204,5.787
-0.55102,0.26327,5.8344
-0.55102,0.27449,5.8798
-0.55102,0.28571,5.9234
-0.55102,0.29694,5.9653
-0.55102,0.30816,6.0056
-0.55102,0.31939,6.0445
-0.55102,0.33061,6.0821
-0.55102,0.34184,6.1184
-0.55102,0.35306,6.1535
-0.55102,0.36429,6.1876
-0.55102,0.37551,6.2206
-0.55102,0.38673,6.2526
-0.55102,0.39796,6.2837
-0.55102,0.40918,6.3139
-0.55102,0.42041,6.3434
-0.55102,0.43163,6.372
-0.55102,0.44286,6.3999
-0.55102,0.45408,6.4272
-0.55102,0.46531,6.4537
-0.55102,0.47653,6.4796
-0.55102,0.48776,6.5049
-0.55102,0.49898,6.5297
-0.55102,0.5102,6.5539
-0.55102,0.52143,6.5775
-0.55102,0.53265,6.6007
-0.55102,0.54388,6.6234
-0.55102,0.5551,6.6456
-0.55102,0.56633,6.6674
-0.55102,0.57755,6.6887
-0.55102,0.58878,6.7096
-0.55102,0.6,6.7302
-0.5102,0.05,4.0401
-0.5102,0.061224,4.2597
-0.5102,0.072449,4.4422
-0.5102,0.083673,4.5983
-0.5102,0.094898,4.7348
-0.5102,0.10612,4.856
-0.5102,0.11735,4.965
-0.5102,0.12857,5.0641
-0.5102,0.1398,5.1548
-0.5102,0.15102,5.2385
-0.5102,0.16224,5.3163
-0.5102,0.17347,5.3888
-0.5102,0.18469,5.4568
-0.5102,0.19592,5.5207
-0.5102,0.20714,5.5811
-0.5102,0.21837,5.6383
-0.5102,0.22959,5.6927
-0.5102,0.24082,5.7444
-0.5102,0.25204,5.7938
-0.5102,0.26327,5.841
-0.5102,0.27449,5.8863
-0.5102,0.28571,5.9298
-0.5102,0.29694,5.9715
-0.5102,0.30816,6.0118
-0.5102,0.31939,6.0505
-0.5102,0.33061,6.088
-0.5102,0.34184,6.1242
-0.5102,0.35306,6.1592
-0.5102,0.36429,6.1931
-0.5102,0.37551,6.226
-0.5102,0.38673,6.258
-0.5102,0.39796,6.289
-0.5102,0.40918,6.3191
-0.5102,0.42041,6.3485
-0.5102,0.43163,6.3771
-0.5102,0.44286,6.4049
-0.5102,0.45408,6.432
-0.5102,0.46531,6.4585
-0.5102,0.47653,6.4843
-0.5102,0.48776,6.5096
-0.5102,0.49898,6.5342
-0.5102,0.5102,6.5584
-0.5102,0.52143,6.582
-0.5102,0.53265,6.605
-0.5102,0.54388,6.6277
-0.5102,0.5551,6.6498
-0.5102,0.56633,6.6715
-0.5102,0.57755,6.6928
-0.5102,0.58878,6.7136
-0.5102,0.6,6.7341
-0.46939,0.05,4.0522
-0.46939,0.061224,4.2711
-0.46939,0.072449,4.453
-0.46939,0.083673,4.6087
-0.46939,0.094898,4.7448
-0.46939,0.10612,4.8656
-0.46939,0.11735,4.9743
-0.46939,0.12857,5.073
-0.46939,0.1398,5.1635
-0.46939,0.15102,5.247
-0.46939,0.16224,5.3245
-0.46939,0.17347,5.3968
-0.46939,0.18469,5.4645
-0.46939,0.19592,5.5283
-0.46939,0.20714,5.5885
-0.46939,0.21837,5.6456
-0.46939,0.22959,5.6997
-0.46939,0.24082,5.7513
-0.46939,0.25204,5.8006
-0.46939,0.26327,5.8477
