X,Z,Y
-0.87755,0.94184,51.512
-0.87755,0.96122,51.641
-0.87755,0.98061,51.763
-0.87755,1,51.876
-0.83673,0.05,8.5111
-0.83673,0.069388,11.431
-0.83673,0.088776,14.159
-0.83673,0.10816,16.708
-0.83673,0.12755,19.09
-0.83673,0.14694,21.316
-0.83673,0.16633,23.395
-0.83673,0.18571,25.338
-0.83673,0.2051,27.154
-0.83673,0.22449,28.851
-0.83673,0.24388,30.436
-0.83673,0.26327,31.917
-0.83673,0.28265,33.301
-0.83673,0.30204,34.595
-0.83673,0.32143,35.803
-0.83673,0.34082,36.932
-0.83673,0.3602,37.987
-0.83673,0.37959,38.973
-0.83673,0.39898,39.894
-0.83673,0.41837,40.755
-0.83673,0.43776,41.559
-0.83673,0.45714,42.311
-0.83673,0.47653,43.013
-0.83673,0.49592,43.669
-0.83673,0.51531,44.282
-0.83673,0.53469,44.855
-0.83673,0.55408,45.39
-0.83673,0.57347,45.891
-0.83673,0.59286,46.358
-0.83673,0.61224,46.795
-0.83673,0.63163,47.203
-0.83673,0.65102,47.584
-0.83673,0.67041,47.94
-0.83673,0.6898,48.273
-0.83673,0.70918,48.584
-0.83673,0.72857,48.875
-0.83673,0.74796,49.146
-0.83673,0.76735,49.4
-0.83673,0.78673,49.637
-0.83673,0.80612,49.859
-0.83673,0.82551,50.066
-0.83673,0.8449,50.259
-0.83673,0.86429,50.44
-0.83673,0.88367,50.609
-0.83673,0.90306,50.767
-0.83673,0.92245,50.914
-0.83673,0.94184,51.052
-0.83673,0.96122,51.181
-0.83673,0.98061,51.301
-0.83673,1,51.413
-0.79592,0.05,8.4536
-0.79592,0.069388,11.354
-0.79592,0.088776,14.063
-0.79592,0.10816,16.595
-0.79592,0.12755,18.961
-0.79592,0.14694,21.172
-0.79592,0.16633,23.237
-0.79592,0.18571,25.167
-0.79592,0.2051,26.971
-0.79592,0.22449,28.656
-0.79592,0.24388,30.23
-0.79592,0.26327,31.702
-0.79592,0.28265,33.077
-0.79592,0.30204,34.361
-0.79592,0.32143,35.561
-0.79592,0.34082,36.683
-0.79592,0.3602,37.731
-0.79592,0.37959,38.71
-0.79592,0.39898,39.625
-0.79592,0.41837,40.48
-0.79592,0.43776,41.279
-0.79592,0.45714,42.025
-0.79592,0.47653,42.723
-0.79592,0.49592,43.374
-0.79592,0.51531,43.983
-0.79592,0.53469,44.552
-0.79592,0.55408,45.084
-0.79592,0.57347,45.581
-0.79592,0.59286,46.045
-0.79592,0.61224,46.479
-0.79592,0.63163,46.884
-0.79592,0.65102,47.263
-0.79592,0.67041,47.617
-0.79592,0.6898,47.947
-0.79592,0.70918,48.256
-0.79592,0.72857,48.545
-0.79592,0.74796,48.815
-0.79592,0.76735,49.067
-0.79592,0.78673,49.302
-0.79592,0.80612,49.522
-0.79592,0.82551,49.728
-0.79592,0.8449,49.92
-0.79592,0.86429,50.1
-0.79592,0.88367,50.267
-0.79592,0.90306,50.424
-0.79592,0.92245,50.57
-0.79592,0.94184,50.707
-0.79592,0.96122,50.835
-0.79592,0.98061,50.955
-0.79592,1,51.066
-0.7551,0.05,8.4153
-0.7551,0.069388,11.302
-0.7551,0.088776,14
-0.7551,0.10816,16.52
-0.7551,0.12755,18.875
-0.7551,0.14694,21.076
-0.7551,0.16633,23.132
-0.7551,0.18571,25.053
-0.7551,0.2051,26.849
-0.7551,0.22449,28.526
-0.7551,0.24388,30.094
-0.7551,0.26327,31.558
-0.7551,0.28265,32.927
-0.7551,0.30204,34.205
-0.7551,0.32143,35.4
-0.7551,0.34082,36.517
-0.7551,0.3602,37.56
-0.7551,0.37959,38.535
-0.7551,0.39898,39.446
-0.7551,0.41837,40.297
-0.7551,0.43776,41.092
-0.7551,0.45714,41.835
-0.7551,0.47653,42.529
-0.7551,0.49592,43.178
-0.7551,0.51531,43.784
-0.7551,0.53469,44.351
-0.7551,0.55408,44.88
-0.7551,0.57347,45.374
-0.7551,0.59286,45.837
-0.7551,0.61224,46.268
-0.7551,0.63163,46.672
-0.7551,0.65102,47.049
-0.7551,0.67041,47.401
-0.7551,0.6898,47.73
-0.7551,0.70918,48.038
-0.7551,0.72857,48.325
-0.7551,0.74796,48.594
-0.7551,0.76735,48.845
-0.7551,0.78673,49.079
-0.7551,0.80612,49.298
-0.7551,0.82551,49.503
-0.7551,0.8449,49.694
-0.7551,0.86429,49.873
-0.7551,0.88367,50.04
-0.7551,0.90306,50.196
-0.7551,0.92245,50.341
-0.7551,0.94184,50.478
-0.7551,0.96122,50.605
-0.7551,0.98061,50.724
-0.7551,1,50.835
-0.71429,0.05,8.3962
-0.71429,0.069388,11.277
-0.71429,0.088776,13.968
-0.71429,0.10816,16.483
-0.71429,0.12755,18.832
-0.71429,0.14694,21.028
-0.71429,0.16633,23.08
-0.71429,0.18571,24.997
-0.71429,0.2051,26.788
-0.71429,0.22449,28.461
-0.71429,0.24388,30.025
-0.71429,0.26327,31.487
-0.71429,0.28265,32.852
-0.71429,0.30204,34.128
-0.71429,0.32143,35.32
-0.71429,0.34082,36.434
-0.71429,0.3602,37.475
-0.71429,0.37959,38.447
-0.71429,0.39898,39.356
-0.71429,0.41837,40.205
-0.71429,0.43776,40.999
-0.71429,0.45714,41.74
-0.71429,0.47653,42.433
-0.71429,0.49592,43.08
-0.71429,0.51531,43.685
-0.71429,0.53469,44.25
-0.71429,0.55408,44.778
-0.71429,0.57347,45.271
-0.71429,0.59286,45.733
-0.71429,0.61224,46.163
-0.71429,0.63163,46.566
-0.71429,0.65102,46.942
-0.71429,0.67041,47.293
-0.71429,0.6898,47.622
-0.71429,0.70918,47.929
-0.71429,0.72857,48.215
-0.71429,0.74796,48.483
-0.71429,0.76735,48.734
-0.71429,0.78673,48.968
-0.71429,0.80612,49.186
-0.71429,0.82551,49.39
-0.71429,0.8449,49.581
-0.71429,0.86429,49.759
-0.71429,0.88367,49.926
-0.71429,0.90306,50.082
-0.71429,0.92245,50.227
-0.71429,0.94184,50.363
-0.71429,0.96122,50.49
-0.71429,0.98061,50.609
-0.71429,1,50.72
-0.67347,0.05,8.3963
-0.67347,0.069388,11.277
-0.67347,0.088776,13.968
