Sk,PSslope,Y,UP,Down
-1.0,-2.0,5.522935012104642,5.840141308819999,5.205728715389285
-0.9797979797979798,-2.0,5.5282526993698955,5.836565699128325,5.219939699611466
-0.9595959595959596,-2.0,5.534016346969232,5.833833933405897,5.234198760532568
-0.9393939393939394,-2.0,5.540229222285284,5.831954161761253,5.248504282809314
-0.9191919191919192,-2.0,5.546894335614005,5.830933493677005,5.262855177551005
-0.898989898989899,-2.0,5.554014434829923,5.8307778673865895,5.277251002273256
-0.8787878787878788,-2.0,5.561592000244598,5.831491914642999,5.291692085846197
-0.8585858585858586,-2.0,5.569629239665904,5.833078824453644,5.306179654878164
-0.8383838383838383,-2.0,5.578128083665483,5.835540210185921,5.320715957145045
-0.8181818181818181,-2.0,5.587090181061632,5.838875985183017,5.335304376940248
-0.797979797979798,-2.0,5.5965168946246315,5.843084252512142,5.349949536737121
-0.7777777777777778,-2.0,5.606409297011379,5.848161214685093,5.3646573793376655
-0.7575757575757576,-2.0,5.616768166935826,5.854101108968562,5.379435224903089
-0.7373737373737373,-2.0,5.627593985581627,5.860896173320381,5.3942917978428735
-0.7171717171717171,-2.0,5.638886933263154,5.868536646870699,5.409237219655609
-0.696969696969697,-2.0,5.650646886340645,5.877010807417229,5.424282965264061
-0.6767676767676767,-2.0,5.66287341439512,5.8863050465875455,5.439441782202695
-0.6565656565656566,-2.0,5.6755657776684245,5.896403981423293,5.454727573913556
-0.6363636363636364,-2.0,5.688722924773347,5.907290599148645,5.470155250398049
-0.6161616161616161,-2.0,5.702343490678625,5.918946430236014,5.485740551121236
-0.5959595959595959,-2.0,5.716425794973226,5.931351743428803,5.501499846517649
-0.5757575757575757,-2.0,5.730967840414106,5.944485755551477,5.517449925276735
-0.5555555555555556,-2.0,5.745967311761103,5.958326848535011,5.533607774987196
-0.5353535353535352,-2.0,5.761421574902599,5.972852786271748,5.54999036353345
-0.5151515151515151,-2.0,5.777327676275093,5.988040924522897,5.56661442802729
